N,n,array_type,k,execution_time,num_of_steps
5000,100,sorted,69,21443000,6910974
5000,100,reversed,69,18062300,10308938
5000,100,random_sequence,69,18347300,8611222
5000,100,random_50,69,19208688,8611417
5000,100,sorted,74,20796700,7460218
5000,100,reversed,74,18770300,11004554
5000,100,random_sequence,74,19238700,9227514
5000,100,random_50,74,19532194,9231049
5000,100,sorted,91,19838900,9238918
5000,100,reversed,91,24158900,13455386
5000,100,random_sequence,91,24221200,11325454
5000,100,random_50,91,23638700,11347273
5000,100,sorted,1,210700,102342
5000,100,reversed,1,243400,147762
5000,100,random_sequence,1,260400,124730
5000,100,random_50,1,268284,124998
5000,100,sorted,43,9539500,4400394
5000,100,reversed,43,10315200,6339798
5000,100,random_sequence,43,11187900,5363986
5000,100,random_50,43,11149758,5370930
5000,300,sorted,53,11832800,5445206
5000,300,reversed,53,13146800,7788466
5000,300,random_sequence,53,14476700,6617434
5000,300,random_50,53,14205282,6616296
5000,300,sorted,100,25214000,10326826
5000,300,reversed,100,24253800,14604770
5000,300,random_sequence,100,26876500,12475418
5000,300,random_50,100,26178174,12465067
5000,300,sorted,181,46322900,18875286
5000,300,reversed,181,42716300,26133618
5000,300,random_sequence,181,46081600,22495062
5000,300,random_50,181,47437052,22505345
5000,300,sorted,232,54607300,24610362
5000,300,reversed,232,55770000,32985954
5000,300,random_sequence,232,60372400,28757574
5000,300,random_50,232,63969476,28792017
5000,300,sorted,133,29889000,14397870
5000,300,reversed,133,32799600,18726042
5000,300,random_sequence,133,35001400,16571606
5000,300,random_50,133,34197100,16559877
5000,500,sorted,9,1930200,985126
5000,500,reversed,9,2179000,1265266
5000,500,random_sequence,9,2270600,1125462
5000,500,random_50,9,2313406,1125327
5000,500,sorted,32,7119800,3503590
5000,500,reversed,32,7459300,4491926
5000,500,random_sequence,32,8280900,3998194
5000,500,random_50,32,8709762,3998710
5000,500,sorted,66,15477800,7246454
5000,500,reversed,66,15533900,9226350
5000,500,random_sequence,66,18463700,8241538
5000,500,random_50,66,17099270,8235726
5000,500,sorted,280,60897600,30969206
5000,500,reversed,280,65816100,38436070
5000,500,random_sequence,280,71448400,34661538
5000,500,random_50,280,73828588,34699673
5000,500,sorted,83,17835100,9390546
5000,500,reversed,83,19366400,11313966
5000,500,random_sequence,83,22291500,10348370
5000,500,random_50,83,22647398,10351858
5000,1000,sorted,916,203985100,105112742
5000,1000,reversed,916,208386900,117281062
5000,1000,random_sequence,916,237661400,111000614
5000,1000,random_50,916,235635506,111165345
5000,1000,sorted,215,70583300,26469098
5000,1000,reversed,215,47758300,26936038
5000,1000,random_sequence,215,54808300,26715238
5000,1000,random_50,215,57834832,26694663
5000,1000,sorted,382,86953800,47896274
5000,1000,reversed,382,91570000,46480642
5000,1000,random_sequence,382,98932500,47173170
5000,1000,random_50,382,101942988,47184158
5000,1000,sorted,223,51458600,28755442
5000,1000,reversed,223,50179300,26622590
5000,1000,random_sequence,223,58444100,27658302
5000,1000,random_50,223,58276224,27691572
5000,1000,sorted,327,74313500,42915378
5000,1000,reversed,327,72500300,38017118
5000,1000,random_sequence,327,85952100,40479342
5000,1000,random_50,327,86262246,40460911
5000,2000,sorted,1317,296333300,178349634
5000,2000,reversed,1317,264552400,137177222
5000,2000,random_sequence,1317,324062100,157487998
5000,2000,random_50,1317,324979968,157746509
5000,2000,sorted,906,203514300,129112130
5000,2000,reversed,906,183560700,90926274
5000,2000,random_sequence,906,225766400,109941634
5000,2000,random_50,906,227408702,109997254
5000,2000,sorted,1412,299259100,183826822
5000,2000,reversed,1412,289117600,153387014
5000,2000,random_sequence,1412,340932600,168561414
5000,2000,random_50,1412,345102944,168593157
5000,2000,sorted,1,290500,128938
5000,2000,reversed,1,328100,121166
5000,2000,random_sequence,1,348400,124802
5000,2000,random_50,1,393922,125074
5000,2000,sorted,1001,217787700,120328494
5000,2000,reversed,1001,252381200,122021610
5000,2000,random_sequence,1001,281736700,121261762
5000,2000,random_50,1001,256325252,121176181
5000,4000,sorted,2006,398651100,204743494
5000,4000,reversed,2006,424418500,264796910
5000,4000,random_sequence,2006,484903200,234594478
5000,4000,random_50,2006,479036240,234706076
5000,4000,sorted,1565,316709800,163730186
5000,4000,reversed,1565,343863100,208107550
5000,4000,random_sequence,1565,373597100,185531042
5000,4000,random_50,1565,380948964,185908326
5000,4000,sorted,3284,651731100,382844414
5000,4000,reversed,3284,615283000,352259278
5000,4000,random_sequence,3284,706278400,367129946
5000,4000,random_50,3284,729356356,367424729
5000,4000,sorted,176,40941700,25142826
5000,4000,reversed,176,37676800,18629778
5000,4000,random_sequence,176,43907200,21900430
5000,4000,random_50,176,46167936,21887915
5000,4000,sorted,1383,303077400,183324818
5000,4000,reversed,1383,285700200,147284094
5000,4000,random_sequence,1383,333022100,165220446
5000,4000,random_50,1383,337619812,165304697
8000,100,sorted,98,33398000,15697724
8000,100,reversed,98,36682000,23433084
8000,100,random_sequence,98,41478700,19561196
8000,100,random_50,98,40601394,19565318
8000,100,sorted,22,7199600,3543056
8000,100,reversed,22,8311100,5254784
8000,100,random_sequence,22,8699600,4398652
8000,100,random_50,22,9573118,4399329
8000,100,sorted,99,35182600,15968201
8000,100,reversed,99,36080000,23561109
8000,100,random_sequence,99,40481600,19775457
8000,100,random_50,99,42223034,19764962
8000,100,sorted,53,17755700,8596499
8000,100,reversed,53,19912800,12585159
8000,100,random_sequence,53,25993500,10597767
8000,100,random_50,53,22253248,10591160
8000,100,sorted,56,21773900,9109942
8000,100,reversed,56,28257000,13269334
8000,100,random_sequence,56,27830500,11195098
8000,100,random_50,56,23200406,11188047
8000,300,sorted,279,95318500,45591945
8000,300,reversed,279,112905400,65407085
8000,300,random_sequence,279,121583300,55538773
8000,300,random_50,279,118311174,55498092
8000,300,sorted,87,29941100,14435413
8000,300,reversed,87,34101300,20310817
8000,300,random_sequence,87,36362000,17389661
8000,300,random_50,87,37325184,17371452
8000,300,sorted,215,73144900,35882273
8000,300,reversed,215,80123400,49764693
8000,300,random_sequence,215,87694300,42786769
8000,300,random_50,215,89578900,42821850
8000,300,sorted,194,66691600,32779976
8000,300,reversed,194,76227100,44534064
8000,300,random_sequence,194,81610300,38662740
8000,300,random_50,194,80709232,38655676
8000,300,sorted,267,91836100,45631661
8000,300,reversed,267,99239300,60618849
8000,300,random_sequence,267,113593600,53143429
8000,300,random_50,267,110146670,53128272
8000,500,sorted,239,80925500,41465353
8000,500,reversed,239,89993100,53696317
8000,500,random_sequence,239,96441200,47577057
8000,500,random_50,239,100422156,47578787
8000,500,sorted,196,76710000,34450966
8000,500,reversed,196,74100200,43656990
8000,500,random_sequence,196,80190900,39043914
8000,500,random_50,196,81476934,39050522
8000,500,sorted,407,142760700,72395305
8000,500,reversed,407,149727200,89111245
8000,500,random_sequence,407,169428000,80728677
8000,500,random_50,407,167426202,80744692
8000,500,sorted,467,186132400,84959153
8000,500,reversed,467,167652700,100132557
8000,500,random_sequence,467,188142400,92540161
8000,500,random_50,467,191027488,92545310
8000,500,sorted,43,15132000,8003969
8000,500,reversed,43,15466900,9184589
8000,500,random_sequence,43,18171100,8599101
8000,500,random_50,43,18085714,8594658
8000,1000,sorted,143,70057300,26685445
8000,1000,reversed,143,56691800,30362113
8000,1000,random_sequence,143,59254500,28516397
8000,1000,random_50,143,59098572,28525207
8000,1000,sorted,153,53599000,28757551
8000,1000,reversed,153,57165700,32267107
8000,1000,random_sequence,153,72465600,30508179
8000,1000,random_50,153,63805232,30508068
8000,1000,sorted,241,89614100,45669895
8000,1000,reversed,241,86814100,50284251
8000,1000,random_sequence,241,99033100,47983003
8000,1000,random_50,241,98880712,47980900
8000,1000,sorted,367,132055200,70464205
8000,1000,reversed,367,131880100,75286905
8000,1000,random_sequence,367,148479200,72911057
8000,1000,random_50,367,155478050,72861475
8000,1000,sorted,561,206999600,109838675
8000,1000,reversed,561,199218600,112087311
8000,1000,random_sequence,561,227197500,111052679
8000,1000,random_50,561,231318060,110951437
8000,2000,sorted,1731,615729900,350521957
8000,2000,reversed,1731,631431700,318042169
8000,2000,random_sequence,1731,721366300,334208041
8000,2000,random_50,1731,694238612,334243204
8000,2000,sorted,1129,406603800,247374255
8000,2000,reversed,1129,389862100,194116675
8000,2000,random_sequence,1129,467405300,220857739
8000,2000,random_50,1129,498954804,220715224
8000,2000,sorted,805,366432300,185151807
8000,2000,reversed,805,293440900,131725779
8000,2000,random_sequence,805,323024200,158310027
8000,2000,random_50,805,338236878,158449152
8000,2000,sorted,440,185207200,103727906
8000,2000,reversed,440,152580500,70757610
8000,2000,random_sequence,440,187577400,87206350
8000,2000,random_50,440,183449158,87236625
8000,2000,sorted,213,91970200,49909243
8000,2000,reversed,213,84759900,34944415
8000,2000,random_sequence,213,108386900,42370911
8000,2000,random_50,213,89006114,42420892
8000,4000,sorted,2899,972418400,605509769
8000,4000,reversed,2899,911149000,487082497
8000,4000,random_sequence,2899,1133734700,546555037
8000,4000,random_50,2899,1102766780,546310754
8000,4000,sorted,248,89924400,50717274
8000,4000,reversed,248,86898900,48010034
8000,4000,random_sequence,248,103368400,49354194
8000,4000,random_50,248,102812730,49352178
8000,4000,sorted,1692,575035000,320155858
8000,4000,reversed,1692,609549800,333872202
8000,4000,random_sequence,1692,660049500,327120450
8000,4000,random_50,1692,675639476,327014402
8000,4000,sorted,2768,870974700,451303122
8000,4000,reversed,2768,961053900,594814986
8000,4000,random_sequence,2768,1055390200,522658162
8000,4000,random_50,2768,1067125262,523001807
8000,4000,sorted,3419,1085610400,563454597
8000,4000,reversed,3419,1120476200,710893873
8000,4000,random_sequence,3419,1292107600,637173325
8000,4000,random_50,3419,1279941852,637255101
10000,100,sorted,52,24388400,10406214
10000,100,reversed,52,24538100,15575478
10000,100,random_sequence,52,26200600,12984994
10000,100,random_50,52,26969760,12991211
10000,100,sorted,54,23008100,10833166
10000,100,reversed,54,25485400,16146958
10000,100,random_sequence,54,28064900,13485646
10000,100,random_50,54,28156010,13488450
10000,100,sorted,45,19247300,9048758
10000,100,reversed,45,21462500,13437918
10000,100,random_sequence,45,22402100,11240862
10000,100,random_50,45,23767000,11242372
10000,100,sorted,96,40344200,19348838
10000,100,reversed,96,45869500,28583574
10000,100,random_sequence,96,51439300,23985782
10000,100,random_50,96,49598816,23964650
10000,100,sorted,54,23995400,10930542
10000,100,reversed,54,27207700,16049582
10000,100,random_sequence,54,27271200,13492702
10000,100,random_50,54,28863712,13489317
10000,300,sorted,67,28016300,13596458
10000,300,reversed,67,37001700,19871914
10000,300,random_sequence,67,34366800,16735174
10000,300,random_50,67,34538354,16734951
10000,300,sorted,207,86975900,42162062
10000,300,reversed,207,96499200,61008390
10000,300,random_sequence,207,104270800,51578766
10000,300,random_50,207,117028204,51582845
10000,300,sorted,106,50006300,21790874
10000,300,reversed,106,54290500,31126018
10000,300,random_sequence,106,61811500,26470466
10000,300,random_50,106,57611154,26460317
10000,300,sorted,219,99295300,45268070
10000,300,reversed,219,106693300,63862254
10000,300,random_sequence,219,112465400,54565250
10000,300,random_50,219,124911574,54560488
10000,300,sorted,54,23907800,11269730
10000,300,reversed,54,27209400,15710394
10000,300,random_sequence,54,35397300,13493018
10000,300,random_50,54,30444842,13488917
10000,500,sorted,68,29220800,14224070
10000,500,reversed,68,31675800,19743286
10000,500,random_sequence,68,37755500,16992606
10000,500,random_50,68,36735032,16983551
10000,500,sorted,474,207821600,99636274
10000,500,reversed,474,269150200,135596650
10000,500,random_sequence,474,258822600,117692490
10000,500,random_50,474,259753374,117616025
10000,500,sorted,118,51344600,25316226
10000,500,reversed,118,55375800,33579930
10000,500,random_sequence,118,59879100,29465154
10000,500,random_50,118,65041600,29452297
10000,500,sorted,58,25181700,12505462
10000,500,reversed,58,27849800,16471334
10000,500,random_sequence,58,30628800,14496338
10000,500,random_50,58,30373806,14488219
10000,500,sorted,178,76469900,38489086
10000,500,reversed,178,85525200,50268830
10000,500,random_sequence,178,92820000,44402442
10000,500,random_50,178,96096584,44378970
10000,1000,sorted,286,125263400,62364110
10000,1000,reversed,286,196546000,79999822
10000,1000,random_sequence,286,155173800,71220230
10000,1000,random_50,286,158952374,71174888
10000,1000,sorted,699,366920200,154659678
10000,1000,reversed,699,344852400,190976246
10000,1000,random_sequence,699,394822900,172866238
10000,1000,random_50,699,382001608,172797685
10000,1000,sorted,88,40196900,20026774
10000,1000,reversed,88,48379800,23916902
10000,1000,random_sequence,88,46541200,21981310
10000,1000,random_50,88,47922164,21972639
10000,1000,sorted,410,189931700,93758870
10000,1000,reversed,410,211433900,109922566
10000,1000,random_sequence,410,233900500,101883406
10000,1000,random_50,410,216498956,101846026
10000,1000,sorted,152,66545000,35341186
10000,1000,reversed,152,85638700,40483706
10000,1000,random_sequence,152,85551100,37896478
10000,1000,random_50,152,79871420,37911105
10000,2000,sorted,1779,867934000,419069726
10000,2000,reversed,1779,837632900,445225398
10000,2000,random_sequence,1779,902114400,432105562
10000,2000,random_50,1779,904986274,432128173
10000,2000,sorted,744,361509000,187671478
10000,2000,reversed,744,328417100,179947846
10000,2000,random_sequence,744,378001700,184008814
10000,2000,random_50,744,391178410,183811197
10000,2000,sorted,748,379659100,194180318
10000,2000,reversed,748,361656400,175391518
10000,2000,random_sequence,748,390717600,184681130
10000,2000,random_50,748,385965314,184816929
10000,2000,sorted,826,372863600,220606794
10000,2000,reversed,826,375667000,186987858
10000,2000,random_sequence,826,434106000,203793750
10000,2000,random_50,826,426622078,203803493
10000,2000,sorted,568,268624600,156214574
10000,2000,reversed,568,246638200,125240782
10000,2000,random_sequence,568,289056700,140717410
10000,2000,random_50,568,296886688,140716737
10000,4000,sorted,1708,810428600,481237378
10000,4000,reversed,1708,755191100,349533818
10000,4000,random_sequence,1708,1069582400,415632042
10000,4000,random_50,1708,910422876,415436237
10000,4000,sorted,1480,702503400,424981798
10000,4000,reversed,1480,619889800,297589718
10000,4000,random_sequence,1480,748366200,361570666
10000,4000,random_50,1480,767633540,361290401
10000,4000,sorted,1994,908867000,536149170
10000,4000,reversed,1994,834284700,429170154
10000,4000,random_sequence,1994,1017734100,482339090
10000,4000,random_50,1994,1009455812,482574649
10000,4000,sorted,3345,1484030800,794008358
10000,4000,reversed,3345,1403372600,789193518
10000,4000,random_sequence,3345,1587037800,791245846
10000,4000,random_50,3345,1640840536,791629803
10000,4000,sorted,2147,956461200,462053570
10000,4000,reversed,2147,1042270000,574706962
10000,4000,random_sequence,2147,1174379200,518406378
10000,4000,random_50,2147,1088564632,518457583
